left,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19
aru,0.531481,0.670596,0.6885588,0.47216976,0.57390517,0.4053848,0.6363968,0.6521326,0.60218865,0.61417854,0.5223237,0.7285612,0.76575637,0.63279605,0.7316945,0.68446505,0.41584027,0.7037884,0.47357082,0.49107563
asf,0.44607696,0.36205816,0.50865453,0.39764887,0.40609953,0.46289045,0.36786008,0.3848996,0.34647733,0.3912065,0.41372263,0.376535,0.3946043,0.37749228,0.43172568,0.418197,0.4467873,0.37179166,0.44900325,0.3685668
ass,0.6093368,0.35832512,0.49173674,0.5198072,0.40050936,0.76247364,0.5495318,0.5010108,0.37867835,0.63319075,0.48104674,0.4795746,0.6832733,0.7478644,0.63902265,0.67463297,0.42298672,0.41454,0.6205571,0.6958804
ate,0.38218817,0.48321858,0.4839042,0.39888063,0.4247413,0.40882707,0.5103388,0.3821093,0.40865543,0.4620928,0.45649186,0.47763056,0.4588516,0.54549605,0.4280858,0.49947372,0.4462041,0.5018882,0.41655448,0.34300968
atf,0.50058365,0.43617326,0.58446354,0.5798127,0.43728647,0.5295045,0.47850627,0.5381393,0.55592805,0.4398678,0.49683684,0.2132957,0.45657226,0.5281825,0.42755175,0.34276506,0.57142127,0.5403153,0.6821999,0.58969194
atj,0.6541979,0.5951253,0.5034137,0.6459919,0.44056597,0.5204596,0.5635471,0.47672796,0.5439827,0.6385804,0.6202516,0.47536042,0.6845752,0.6172212,0.60808223,0.5427403,0.60473984,0.42267427,0.5728588,0.58777547
atv,0.3365554,0.4680879,0.54531056,0.37880376,0.4236624,0.37443718,0.33605704,0.37823915,0.45739064,0.4399095,0.6273095,0.43670556,0.296689,0.6607158,0.3194069,0.33189243,0.3167114,0.5861849,0.37778872,0.27454045
auc,0.8764993,0.31016344,0.36307612,0.48924094,0.4771708,0.7129191,0.6701092,0.2474421,0.40420464,0.7603608,0.68146324,0.6635396,0.5390369,0.37484848,0.4139181,0.5013162,0.7510224,0.7044457,0.4390219,0.71445817
aul,0.6556067,0.60942477,0.5557255,0.2894052,0.5685147,0.5860493,0.5036995,0.5315033,0.54162854,0.4611521,0.37207776,0.39713475,0.40980655,0.5637314,0.49874517,0.6138066,0.5633213,0.5732585,0.540303,0.62307596
avp,0.5411037,0.49045527,0.50596136,0.47423074,0.40656668,0.54208654,0.6874005,0.4255005,0.5773796,0.58816236,0.4382248,0.5806808,0.5082683,0.6056713,0.62100136,0.42921907,0.5463705,0.48964944,0.6045284,0.6094665
awk,0.5727865,0.38142067,0.63494945,0.6543939,0.53188074,0.4747454,0.5925158,0.37200087,0.75967854,0.5906469,0.38237476,0.5913715,0.54011893,0.5991639,0.4146028,0.744552,0.6092921,0.53184646,0.5847263,0.42740834
awp,0.463511,0.429905,0.35061467,0.4096856,0.42691287,0.58117044,0.4604195,0.49394697,0.51623195,0.3814202,0.40214345,0.39291567,0.43142647,0.42541823,0.41733,0.4847682,0.5221049,0.42265654,0.3855474,0.54386854
awu,0.42061642,0.5492218,0.40195456,0.4522357,0.45713714,0.4466251,0.39940983,0.51667064,0.3909865,0.38779104,0.4575066,0.39942002,0.47075903,0.5290687,0.44207695,0.48780006,0.38332498,0.44454885,0.44635585,0.58115035
axn,0.6025337,0.6440928,0.6896192,0.48351142,0.4658855,0.38538218,0.63167274,0.657433,0.66635025,0.67151517,0.4805444,0.62895846,0.5237753,0.64259464,0.6309605,0.5940053,0.6539104,0.5842459,0.6459896,0.6443612
axo,0.41628715,0.38782072,0.366281,0.33903706,0.3616307,0.36802787,0.4294389,0.38886645,0.38488078,0.39598134,0.4318985,0.4332334,0.41765764,0.33635485,0.3781452,0.4114665,0.43548363,0.26821312,0.7202488,0.34961203
axp,0.46628824,0.52264804,0.46690607,0.41290805,0.493084,0.6175516,0.4810732,0.4289117,0.46247128,0.5107085,0.4116232,0.59014344,0.42164737,0.47358885,0.5125301,0.5625277,0.46765795,0.43155688,0.514297,0.5313792
ayc,0.61840564,0.6001223,0.6223147,0.5865441,0.55658656,0.58912337,0.42320442,0.5480224,0.5708851,0.5033565,0.652273,0.6922614,0.48556906,0.62612164,0.70397514,0.5757187,0.5701011,0.38285542,0.5155763,0.46743512
ayg,0.6274587,0.4890043,0.40000138,0.7416538,0.6171795,0.41248178,0.52078235,0.67112267,0.39497492,0.4787055,0.4116633,0.58843195,0.54303026,0.57242805,0.61435026,0.381249,0.574918,0.61214936,0.64644027,0.6392493
azb,0.61988205,0.542961,0.58104193,0.6787125,0.6493994,0.5967167,0.5012276,0.5217216,0.5325192,0.4046198,0.6236403,0.50265694,0.4593483,0.54165804,0.5127246,0.5526715,0.42903912,0.6332335,0.46263078,0.57554376
azo,0.6070842,0.6233524,0.49903467,0.46670073,0.38906056,0.7826939,0.69059074,0.73246616,0.61671305,0.39869988,0.62527734,0.46518698,0.6599219,0.58132446,0.4587604,0.55288666,0.73409855,0.6261307,0.4709234,0.69167787
ban,0.6690086,0.6414225,0.58605385,0.6553615,0.50656354,0.38411307,0.41168606,0.73211545,0.43497273,0.6130815,0.48051,0.6463579,0.69934416,0.7014657,0.61910874,0.5832583,0.37070128,0.59951913,0.65776896,0.41191387
bao,0.42780712,0.42790636,0.45909366,0.46180356,0.5148609,0.39845836,0.4665857,0.5109362,0.4452047,0.52295125,0.44930172,0.4918114,0.3823518,0.49658933,0.42217144,0.5186781,0.5457673,0.5069333,0.5234718,0.50416815
bar,0.5238645,0.41881967,0.3997705,0.41774583,0.4179195,0.53404886,0.48886403,0.4040435,0.44542843,0.37214234,0.3893507,0.4872969,0.3686673,0.37921384,0.3709476,0.46272764,0.43668988,0.41625082,0.38142747,0.4475332
bas,0.53627545,0.60768217,0.6134092,0.57842946,0.49909595,0.5654066,0.36595345,0.56814104,0.62700844,0.4948832,0.5263592,0.60159284,0.55641174,0.5700325,0.6297649,0.44038546,0.56722474,0.48977894,0.3746336,0.44370317
bbn,0.49601963,0.47785637,0.6054433,0.38853347,0.7354808,0.6128374,0.7888097,0.44691947,0.45589542,0.39884913,0.36137065,0.293934,0.40058613,0.4554766,0.48576108,0.5319113,0.765591,0.6876632,0.7301603,0.42567536
bbt,0.37259078,0.48006138,0.37954104,0.43650925,0.4594068,0.395158,0.41408354,0.4419275,0.59685093,0.4232262,0.7539499,0.42807636,0.47562525,0.5570575,0.5061979,0.45627362,0.35046765,0.49317604,0.41293952,0.43155572
bcf,0.41451326,0.48412865,0.5622063,0.47254634,0.4751093,0.45820194,0.68336695,0.622137,0.5429146,0.46167463,0.8350095,0.49457246,0.59012175,0.55612653,0.44563833,0.6574023,0.48086786,0.6587145,0.7089834,0.4140324
bcg,0.66750574,0.5423161,0.5751392,0.52526915,0.48140886,0.5410406,0.5379129,0.5762907,0.62987506,0.5701352,0.66498774,0.5596565,0.54474765,0.4865716,0.6338356,0.3272549,0.36371598,0.48039573,0.6374786,0.4940371
bci,0.59995294,0.6726637,0.66821355,0.5566641,0.5829818,0.374193,0.48064458,0.46856764,0.40375704,0.57957625,0.6247026,0.4863876,0.34004995,0.6626502,0.45911577,0.61315155,0.37902135,0.59948844,0.5713391,0.41429892
bcj,0.42734107,0.46568996,0.43253297,0.47379166,0.36952,0.555353,0.5336763,0.4012813,0.46065143,0.6002128,0.46905044,0.4759479,0.48016974,0.47331834,0.40463802,0.34589157,0.5034972,0.45067587,0.37150487,0.36141768
bcn,0.5479582,0.388089,0.42718148,0.7699141,0.6397231,0.35381195,0.6928401,0.62333363,0.6919031,0.6152699,0.44108212,0.69427025,0.6912561,0.67334414,0.7690347,0.52640617,0.63500184,0.44748273,0.45139048,0.6352889
bcw,0.3579258,0.47471696,0.31262678,0.47029546,0.52204,0.50133634,0.5692696,0.5261465,0.50492996,0.5389454,0.38106763,0.45020497,0.46486413,0.5386916,0.49579665,0.39598027,0.3877991,0.517025,0.50572264,0.6072075
bdv,0.6326505,0.3361035,0.37699276,0.42113647,0.620332,0.54048866,0.34162822,0.66243106,0.6112127,0.68797237,0.56648314,0.5826841,0.64834833,0.61506844,0.664477,0.6701565,0.44145048,0.5934762,0.66581255,0.58659726
bep,0.4696613,0.5077067,0.39762548,0.72595316,0.5503969,0.4199708,0.44528842,0.70277494,0.6941138,0.73045236,0.60182554,0.65554035,0.45547146,0.5527081,0.70311445,0.43505988,0.69150174,0.4913687,0.66441965,0.5482733
bew,0.35996798,0.36240163,0.42782086,0.42204052,0.43891197,0.38880965,0.38491428,0.6057676,0.42419982,0.37388873,0.5155383,0.35460803,0.4267916,0.4923013,0.39682764,0.47871646,0.4026142,0.404669,0.4575627,0.4746176
bfc,0.3905936,0.54268837,0.3692464,0.39266247,0.37121058,0.48764095,0.42015842,0.45925206,0.4868756,0.45260826,0.44465312,0.34927812,0.34926835,0.35957444,0.3298409,0.6276398,0.33519843,0.38128224,0.4015465,0.5351818
bft,0.60776126,0.629787,0.57813084,0.6583086,0.5941908,0.57790035,0.6263263,0.5835055,0.5908981,0.508475,0.4712538,0.66138506,0.48806238,0.41019073,0.39438435,0.62661314,0.59074384,0.62662673,0.5908223,0.48166117
bfx,0.5173109,0.44593322,0.46929857,0.53489685,0.5330541,0.52431273,0.41770077,0.48073214,0.4557537,0.5128502,0.4370861,0.55403465,0.5585475,0.47341093,0.48189458,0.47004598,0.56897455,0.54211164,0.44826737,0.49892804
bhw,0.44472894,0.63938016,0.4029864,0.39797792,0.6499262,0.5821824,0.6934692,0.5463478,0.6039124,0.5367566,0.47126666,0.4031801,0.42427853,0.3659476,0.5704259,0.56920236,0.53872436,0.44052866,0.5191003,0.4159363
bim,0.40909395,0.34265375,0.32450834,0.4622775,0.47596458,0.32104614,0.30707446,0.42023948,0.4658173,0.3798017,0.423004,0.3759735,0.66891927,0.39801013,0.39639845,0.2974089,0.30015746,0.31391543,0.32213125,0.36633635
bis,0.58610606,0.65974593,0.5077663,0.45246208,0.53259456,0.57015496,0.63628346,0.5073523,0.68461734,0.54967725,0.37093693,0.5783216,0.6331501,0.7460672,0.6408655,0.6317339,0.47042936,0.467847,0.7052951,0.48367068
biu,0.47972447,0.43349698,0.7705418,0.4156007,0.41905043,0.6717106,0.66431177,0.39629892,0.6628156,0.57912713,0.44914865,0.46135283,0.631143,0.4899298,0.39216107,0.5540002,0.47753635,0.5457537,0.6354517,0.73207766
bjq,0.5449909,0.43306273,0.6604287,0.75345284,0.7223284,0.5431293,0.6984147,0.49905056,0.5984176,0.58378184,0.5753738,0.66320294,0.72191656,0.45125595,0.5569169,0.33511126,0.6473357,0.6287032,0.7243889,0.54373443
bjr,0.554301,0.50786614,0.5004242,0.50400925,0.5937016,0.6310847,0.57976025,0.6402545,0.50982225,0.33887115,0.5287602,0.6623937,0.4309499,0.6647716,0.64227426,0.39492282,0.65845853,0.72240716,0.731606,0.6198375
bkt,0.6031478,0.3967339,0.45711347,0.50415826,0.65357137,0.39901954,0.7007649,0.41993788,0.6179253,0.57569975,0.46545783,0.6429635,0.6055798,0.5196238,0.52389,0.61263406,0.4563113,0.47902858,0.56392705,0.3794206
blg,0.5987111,0.44672653,0.43674055,0.4963351,0.5078834,0.48843578,0.536007,0.5737667,0.46723348,0.5381548,0.5091642,0.52172935,0.56344056,0.4743826,0.44091943,0.51405257,0.47636467,0.50635743,0.4641356,0.5139539
blu,0.41636962,0.4708786,0.41555625,0.5721149,0.36233515,0.41614437,0.48266616,0.3460603,0.32971203,0.3653571,0.36453497,0.4391512,0.42444265,0.4533065,0.41407576,0.4585936,0.39317867,0.45300755,0.48924765,0.4564091
bmj,0.65882087,0.51777464,0.6308915,0.55558443,0.5131478,0.5393123,0.6295674,0.30547088,0.62757623,0.622572,0.68637156,0.50985724,0.63699037,0.43061355,0.7307987,0.6134882,0.50909185,0.50308424,0.68613476,0.43830684
bmw,0.43831602,0.4165831,0.42439207,0.44523945,0.5049763,0.3572755,0.3730815,0.33673468,0.3656777,0.5108926,0.39520058,0.37830037,0.3597081,0.3793,0.38089782,0.39667454,0.42554638,0.49184978,0.44171968,0.41697857
bni,0.59167475,0.4142624,0.5266453,0.6380315,0.57545656,0.6126626,0.63361853,0.54281497,0.4368601,0.40287322,0.4181771,0.43031463,0.5274129,0.5457548,0.5992726,0.5521914,0.359802,0.4716974,0.596042,0.66427314
bnm,0.6374569,0.69313204,0.65479994,0.38843527,0.43190777,0.4015961,0.40223816,0.4986616,0.64131075,0.62173796,0.6357787,0.7222633,0.40357268,0.39571583,0.3934846,0.4279868,0.33303222,0.6394703,0.36577398,0.6782711
bos,0.5820695,0.51674473,0.49628347,0.55540127,0.54657704,0.42407086,0.5719378,0.5008052,0.4858589,0.5053678,0.46111503,0.48148912,0.39756918,0.46005374,0.4777151,0.56172246,0.5713184,0.68595684,0.60848135,0.50533915
bpg,0.42776412,0.68715477,0.38303322,0.60954666,0.6805519,0.5178697,0.49347156,0.5393173,0.6405481,0.46070793,0.6959708,0.56397784,0.6125419,0.6618915,0.72207916,0.5327416,0.565947,0.728903,0.5089364,0.47965592
bph,0.68134457,0.28615943,0.39107314,0.49508718,0.45506504,0.3407187,0.32219428,0.53544116,0.63531935,0.59569556,0.5113238,0.37404406,0.59554565,0.3665057,0.45281348,0.44313535,0.4819528,0.417202,0.39007702,0.47752815
bpv,0.37542284,0.40520215,0.37183663,0.38586003,0.41191724,0.37493652,0.21967095,0.39024964,0.3895699,0.40095204,0.4595346,0.4379826,0.4528158,0.34793153,0.336317,0.33682117,0.3936528,0.33198798,0.28547788,0.40003553
bqc,0.57379955,0.58951443,0.36961284,0.45387244,0.52364117,0.47170326,0.5465467,0.6109389,0.50467664,0.576436,0.38034254,0.58309317,0.6065677,0.4259475,0.44781312,0.49961203,0.5451993,0.5014389,0.46139842,0.53149194
bqp,0.59082,0.5966243,0.6828808,0.73724914,0.5807795,0.69834876,0.5163595,0.7008505,0.5983474,0.6399187,0.6975204,0.5661863,0.5391331,0.4972859,0.6916919,0.67256373,0.7194673,0.46071035,0.46267408,0.74356306
bqq,0.6624174,0.42020497,0.6349114,0.40512827,0.4325789,0.6835662,0.5461265,0.75063205,0.50567126,0.56828994,0.52880025,0.51449686,0.52064866,0.5656101,0.48951834,0.68504775,0.60971266,0.69042027,0.6152853,0.59626806
brj,0.61346453,0.5002151,0.57249546,0.43370613,0.7359973,0.5367335,0.5719808,0.58090186,0.44975924,0.5813545,0.3843511,0.6001628,0.5872178,0.65250087,0.60147697,0.5380202,0.6249986,0.57254606,0.52031946,0.50181633
brr,0.61832345,0.602421,0.35389158,0.57128483,0.39738315,0.6518027,0.39036483,0.5706627,0.6287324,0.3618546,0.43453836,0.6545361,0.45348448,0.6045576,0.4554003,0.49919233,0.58602244,0.63576996,0.37449348,0.61244714
bug,0.55860144,0.45203486,0.59397346,0.5545266,0.5643796,0.4893432,0.41825318,0.6486321,0.4698352,0.49978864,0.54835683,0.54060113,0.5129588,0.47789586,0.48749578,0.5275181,0.49498346,0.43015733,0.50060743,0.45861045
bul,0.5869164,0.655322,0.5632012,0.55212504,0.50202584,0.60478073,0.57773465,0.6253569,0.5830613,0.65258783,0.34465143,0.5857319,0.5448352,0.600129,0.31141058,0.63026804,0.6340315,0.547324,0.67470765,0.45732126
buw,0.59817004,0.46956238,0.5250865,0.46549094,0.32919365,0.6248332,0.624598,0.47166073,0.55731386,0.5340719,0.34578922,0.5334463,0.468463,0.5320205,0.39701605,0.7083606,0.50125915,0.49182284,0.7514385,0.39632353
buy,0.65786266,0.61638606,0.6014877,0.562798,0.69251347,0.5196888,0.35916653,0.6238358,0.60123223,0.47910205,0.6904786,0.60690373,0.58497155,0.48449025,0.4457532,0.39442134,0.5180997,0.4817316,0.55367756,0.69145036
bvh,0.3926725,0.4312338,0.31548554,0.3818154,0.3818515,0.3466281,0.42636573,0.3989976,0.51181066,0.5571607,0.3550333,0.38211885,0.37821215,0.42797828,0.3859314,0.36399806,0.4487118,0.3840039,0.46055567,0.39608765
bvi,0.32748753,0.69565195,0.7549188,0.47086665,0.40129146,0.6997395,0.7348279,0.6548606,0.40375322,0.6053514,0.3840784,0.61580515,0.8124824,0.61394465,0.876737,0.41255262,0.37854943,0.5404326,0.62717277,0.38097733
bvs,0.57903165,0.60192084,0.613244,0.4762166,0.5177082,0.59659,0.45714316,0.44802523,0.49426538,0.41895825,0.4698966,0.72372377,0.69451195,0.4934435,0.4261111,0.58331,0.5396292,0.5771742,0.34828037,0.548189
bvw,0.5334308,0.51128703,0.5280409,0.31372002,0.44507232,0.5055393,0.653191,0.5870442,0.4771053,0.43440613,0.5035653,0.39580044,0.5330461,0.51053745,0.49789882,0.4528968,0.55669755,0.47826615,0.43609333,0.38822022
bwb,0.33500487,0.56046873,0.53854334,0.36470327,0.6374752,0.6866144,0.55669343,0.606278,0.62824726,0.70215183,0.3996952,0.48475885,0.6671216,0.42720655,0.5224973,0.7525504,0.62957054,0.67977047,0.41142827,0.63262635
